,1,2,3,4,5,6,7,8,9,10,11,12,Global
Benchmark,,,,,,,,,,,,,0.4534698057912087
2bc96665,-15.00264834952301,,,,,,,,,,,,-4.519711240655135
fb07c974,,,,,,,,,,,,,0.06821407910180995
538b0bb5,,,,,,,,,,,,,-2.362944156790434
860fb4bb,,,,,,,,,,,,,11.81674472561265
cfd8f183,-1.694404495390074,0.014635424077586738,-9.486799502625963,-6.6659097332397845,8.919670400985337,1.5167106646985338,0.4410531700242965,-1.3608295063484472,-9.753608753029322,-4.456500971405745,-0.33165507064960914,,0.1380814976248033
787d2872,,,,,,,,,,,,,10.76497477734337
b875c91c,,,,,,,,,,,,,-2.470667076184525
8c13bdf6,-1.2489600452420573,-3.777504246908098,-0.8633544952055378,2.1877385107059264,5.365519811146758,1.6358821156764487,-10.784044841460883,-16.937598737020558,,,,,-5.981975382176237
d04974fb,,,,,,,,,,,,,0.4534698057912087
db442696,,,,,,,,,,,,,-10.19629224731782
93f5f872,,,,,,,,,,,,,3.982829555885231
76fcf359,0.4534698057912087,0.4534698057912087,0.4534698057912087,0.4534698057912087,0.4534698057912087,0.4534698057912087,0.4534698057912087,0.4534698057912087,,,,,0.4534698057912087
2ddbfd56,-4.172818604357438,-3.2889434325280713,-37.32066664629782,-15.792988105634588,-27.217812970357365,-27.09455791244993,-17.15571461855852,-21.647870812609032,-22.163420286781193,-21.387438599362405,-13.389128273445602,,-22.6639856666881
41c16cc4,-0.5953648856699858,-0.2676287227998814,1.1147638017409245,,,,,,,,,,-5.708332891746449
b4977cb7,1.9841958314439707,1.800543941142916,-8.434886200595665,-8.52541187561968,-7.868602163889798,-11.449308031528624,-8.822108722831889,-9.227918002169051,-23.268454714825523,-23.138352758215532,-22.6021484387008,,-22.60984850910678
dcc0145b,2.407598767450611,,,,,,,,,,,,0.2977165868479981
6954b3b1,-2.43464317650644,-2.803285453364054,5.093635989421458,12.640729366654826,1.3121972846753205,-3.3029983999327692,5.07149688914524,1.4774251112581336,1.1857194242527738,-0.5553785256752861,,,7.255552446853841
30c5c41c,-8.115814356188421,,,,,,,,,,,,-22.01307855384184
c674f84b,-15.157223562282109,-9.899881463485938,15.604459918845766,-1.3345115745716494,-0.25311438795705427,1.3685881179425803,-3.5622085262929204,-0.10320988123241115,,,,,-4.311691155248152
dfb3c499,3.4062944482468827,5.302893561130199,-9.485102432326723,-7.646792930522861,-8.614101909584129,-3.576507788416768,,,,,,,-9.058045025565098
14cbb019,0.4534698057912087,1.07352462147027,1.07352462147027,1.07352462147027,8.301996508258087,-3.6069592905913197,-18.651890487641104,,,,,,-7.52820537989977
bbb3c357,-0.9198915527448449,6.287597012650761,11.861221004113384,23.90136076193338,9.095198714666218,17.167447759637614,18.421280399574243,1.990620450785606,38.18615682346966,41.26917696325235,30.764924913755134,,32.88981456696906
b3d7dbc2,2.248995422378178,-2.486349150896576,-2.2734815284307186,-6.547134026933017,-3.3014066562613125,,,,,,,,0.6845679926439708
203bb693,-2.873502678347764,-0.11988280604494322,5.192483474068644,-23.588542127476565,-6.144580254730832,-5.80914489232121,-15.790453396784507,-15.790453396784507,-11.422799864778838,-7.117012759111008,,,-6.103663566481754
515b11f9,-3.473211353463688,-2.3068583838219783,-8.958050091265807,-1.3748233006307449,-19.312027928781145,-18.9780463401188,-15.297645033413735,-14.690281537129838,-15.33809653085311,-14.610873804756693,-14.2605466188074,,-4.420286928418447
22dcdc75,-0.23930203723708732,-0.45997421456492676,-2.205157305532922,-0.7762896545661453,-0.7656660613057447,-0.7656660613057447,-0.7758718289107425,,,,,,-0.767287538549837
47dd8149,-9.479390046641049,,,,,,,,,,,,-7.058069324516376
c9b02591,16.033119334043263,-0.1374071780808699,2.809613568615395,-1.508211237181807,1.0273467356346808,0.29984020639336634,5.313309471098834,6.347303761726812,-23.713205932245376,,,,-15.22305160061464
f250dfc3,-7.311661881938627,-2.95198075032192,-11.928503673895978,-4.4147792651814735,-11.601453517920362,-3.0223153636712863,-6.011760469517848,-2.0286888585988705,-0.16029735741722986,-9.175109605963184,,,1.120453041416002
5c7bb709,-14.927610299886727,-7.876211345269796,-7.308457072824425,-5.343235898511132,-7.516328028639565,-6.5470870916245145,-9.152390635586,-8.011195855244752,-8.262518337646963,,,,-8.79756504503371
cf2d56c6,-0.9379263288432567,0.1792358315097089,-29.765341552410487,-16.369580275412048,-29.32917154296448,-15.78258895498317,-18.68534465236987,-17.556141834920542,-33.101623239447754,-22.15054027763631,-16.18925925577922,,4.533429331069593
71b47b97,-6.321944375586057,-0.6018988263909226,-1.3331455606325875,-0.5393380578606128,-1.4875769034788062,,,,,,,,1.386345392462643
d40031cb,,,,,,,,,,,,,-14.16969796918641
d9143cc1,,,,,,,,,,,,,23.52048811801088
78cc44f1,,,,,,,,,,,,,-4.326242332237098
bc4b0314,-2.7170457130221717,6.943068375192056,6.708618830328218,8.287584935963588,6.531324636342502,9.324889098604592,5.0024145900657615,5.0024145900657615,0.600966043894242,0.600966043894242,,,0.600966043894242
86458890,-2.46565168667198,1.5507521288431085,-3.0689939324589615,2.7744270131223634,1.9872882701567876,2.112824031405311,1.770477935130849,1.402965138976209,-16.629881887940442,-18.765935409945698,-17.446466015456227,,-18.28104370416452
cd597d34,1.493933366490015,1.493933366490015,1.493933366490015,1.493933366490015,1.3138160398992633,0.5791487248921804,0.8234193845046036,-12.969936289610692,13.791213357578643,13.791213357578643,13.791213357578643,,13.79121335757864
c29fbf4f,5.346606804103809,-2.9850447018867787,-10.167606179012608,-7.722405347883987,-8.664421520294566,-6.953954205296838,0.18292222815234047,-23.191861482978748,-25.173316709381062,-24.58175106066148,-23.267686281663426,,-24.07771669668274
